modifier	description
-token	Outputs the token counts for input, output, and ratio.
-generate	Generates three examples: derived, extrapolated, and inferred.
-deriveexample	Generates an example based on the derivation of information.
-extrapolateexample	Generates an example extrapolated from existing information.
-inferexample	Generates an example based on inference.
-abstractexample	Generates a general, abstract example.
-concreteexample	Generates a specific, concrete example.
-surjectiveexample	Generates an example that maps multiple inputs to a single output.
-injunctiveexample	Generates a prescriptive example implying action or behavior.
-interpolateexample	Generates an example by interpolating between known examples.
-interpolate	Used in the -interpolateexample to generate interpolated examples.
-matchlength	Ensures the output matches a specified word count.
-example<number>	Generates the specified number of examples based on a prompt.
-modify	Modifies behavior or format of other modifiers based on specific rules.
-update	Updates the modifier schema.
-updateglossary	Updates the glossary of modifiers.
